match_id,tournament_year,game_type,stage_raw,stage,is_knockout,match_date,country_a,country_b,country_a_code,country_b_code,goals_a_90,goals_b_90,outcome_90,goals_a_after_extra_time,goals_b_after_extra_time,penalties_a,penalties_b,extra_time,score_details,venue,rank_a,rank_b,ranking_points_a,ranking_points_b,rank_diff,ranking_points_diff,confederation_a,confederation_b,same_confederation
871,2018,championship,Group F,group,false,2018-06-27,South Korea,Germany,KOR,GER,2,0,A_WIN,,,,,false,(0-0),"Kazan Arena, Kazan",61,1,520,1544,-60,-1024,AFC,UEFA,false
872,2018,championship,Group F,group,false,2018-06-27,Mexico,Sweden,MEX,SWE,0,3,B_WIN,,,,,false,(0-0),"Ekaterinburg Arena, Ekaterinburg",15,23,1008,889,8,119,CONCACAF,UEFA,false
873,2018,championship,Group G,group,false,2018-06-18,Belgium,Panama,BEL,PAN,3,0,A_WIN,,,,,false,(0-0),"Fisht Stadium, Sochi",3,55,1346,574,52,772,UEFA,CONCACAF,false
874,2018,championship,Group G,group,false,2018-06-18,Tunisia,England,TUN,ENG,1,2,B_WIN,,,,,false,(1-1),"Volgograd Arena, Volgograd",14,13,1012,1040,-1,-28,CAF,UEFA,false
875,2018,championship,Group G,group,false,2018-06-23,Belgium,Tunisia,BEL,TUN,5,2,A_WIN,,,,,false,(3-1),"Spartak Stadium, Moscow",3,14,1346,1012,11,334,UEFA,CAF,false
876,2018,championship,Group G,group,false,2018-06-24,England,Panama,ENG,PAN,6,1,A_WIN,,,,,false,(5-0),"Nizhny Novgorod Stadium, Nizhny Novgorod",13,55,1040,574,42,466,UEFA,CONCACAF,false
877,2018,championship,Group G,group,false,2018-06-28,England,Belgium,ENG,BEL,0,1,B_WIN,,,,,false,(0-0),"Kaliningrad Stadium, Kaliningrad",13,3,1040,1346,-10,-306,UEFA,UEFA,true
878,2018,championship,Group G,group,false,2018-06-28,Panama,Tunisia,PAN,TUN,1,2,B_WIN,,,,,false,(1-0),"Mordovia Arena, Saransk",55,14,574,1012,-41,-438,CONCACAF,CAF,false
879,2018,championship,Group H,group,false,2018-06-19,Colombia,Japan,COL,JPN,1,2,B_WIN,,,,,false,(1-1),"Mordovia Arena, Saransk",16,60,989,528,44,461,CONMEBOL,AFC,false
880,2018,championship,Group H,group,false,2018-06-19,Poland,Senegal,POL,SEN,1,2,B_WIN,,,,,false,(0-1),"Spartak Stadium, Moscow",10,28,1128,825,18,303,UEFA,CAF,false
881,2018,championship,Group H,group,false,2018-06-24,Japan,Senegal,JPN,SEN,2,2,DRAW,,,,,false,(1-1),"Ekaterinburg Arena, Ekaterinburg",60,28,528,825,-32,-297,AFC,CAF,false
882,2018,championship,Group H,group,false,2018-06-24,Poland,Colombia,POL,COL,0,3,B_WIN,,,,,false,(0-1),"Kazan Arena, Kazan",10,16,1128,989,6,139,UEFA,CONMEBOL,false
883,2018,championship,Group H,group,false,2018-06-28,Japan,Poland,JPN,POL,0,1,B_WIN,,,,,false,(0-1),"Volgograd Arena, Volgograd",60,10,528,1128,-50,-600,AFC,UEFA,false
884,2018,championship,Group H,group,false,2018-06-28,Senegal,Colombia,SEN,COL,0,1,B_WIN,,,,,false,(0-1),"Samara Arena, Samara",28,16,825,989,-12,-164,CAF,CONMEBOL,false
885,2018,championship,Round of 16,round_of_16,true,2018-06-30,France,Argentina,FRA,ARG,4,3,A_WIN,,,,,false,(1-1),"Kazan Arena, Kazan",7,5,1166,1254,-2,-88,UEFA,CONMEBOL,false
886,2018,championship,Round of 16,round_of_16,true,2018-06-30,Uruguay,Portugal,URU,POR,2,1,A_WIN,,,,,false,(1-0),"Fisht Stadium, Sochi",17,4,976,1306,-13,-330,CONMEBOL,UEFA,false
887,2018,championship,Round of 16,round_of_16,true,2018-07-01,Spain,Russia,ESP,RUS,1,1,DRAW,1,1,3,4,true,"a.e.t. (1-1, 1-1) , 3-4 pen.","Luzhniki Stadium, Moscow",8,66,1162,493,58,669,UEFA,UEFA,true
888,2018,championship,Round of 16,round_of_16,true,2018-07-01,Croatia,Denmark,CRO,DEN,1,1,DRAW,1,1,3,2,true,"a.e.t. (1-1, 1-1) , 3-2 pen.","Nizhny Novgorod Stadium, Nizhny Novgorod",18,12,975,1054,-6,-79,UEFA,UEFA,true
889,2018,championship,Round of 16,round_of_16,true,2018-07-02,Brazil,Mexico,BRA,MEX,2,0,A_WIN,,,,,false,(0-0),"Samara Arena, Samara",2,15,1384,1008,13,376,CONMEBOL,CONCACAF,false
890,2018,championship,Round of 16,round_of_16,true,2018-07-02,Belgium,Japan,BEL,JPN,3,2,A_WIN,,,,,false,(0-0),"Rostov Arena, Rostov-on-Don",3,60,1346,528,57,818,UEFA,AFC,false
891,2018,championship,Round of 16,round_of_16,true,2018-07-03,Sweden,Switzerland,SWE,SUI,1,0,A_WIN,,,,,false,(0-0),"Saint Petersburg Stadium, Saint Petersburg",23,6,889,1179,-17,-290,UEFA,UEFA,true
892,2018,championship,Round of 16,round_of_16,true,2018-07-03,Colombia,England,COL,ENG,1,1,DRAW,1,1,3,4,true,"a.e.t. (1-1, 0-0) , 3-4 pen.","Spartak Stadium, Moscow",16,13,989,1040,-3,-51,CONMEBOL,UEFA,false
893,2018,championship,Quarter-finals,quarter_final,true,2018-07-06,Uruguay,France,URU,FRA,0,2,B_WIN,,,,,false,(0-1),"Nizhny Novgorod Stadium, Nizhny Novgorod",17,7,976,1166,-10,-190,CONMEBOL,UEFA,false
